ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
SSNC,SS&C Technologies Inc,stocks,us,XNAS,CS,True,usd,0001402436,BBG000RJ2J04,BBG001STPPK8,2024-04-19T00:00:00Z
SSNT,"SilverSun Technologies, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001236275,BBG000BV5627,BBG001SCBW07,2024-04-19T00:00:00Z
SSP,The E.W. Scripps Company,stocks,us,XNAS,CS,True,usd,0000832428,BBG000C78J55,BBG001S6PY74,2024-04-19T00:00:00Z
SSRM,SSR Mining Inc.,stocks,us,XNAS,CS,True,usd,0000921638,BBG000C0RWX9,BBG001S6JSX5,2024-04-19T00:00:00Z
SSSS,SuRo Capital Corp. Common Stock,stocks,us,XNAS,CS,True,usd,0001509470,BBG001D2TV80,BBG001V04MT8,2024-04-19T00:00:00Z
SST,"System1, Inc.",stocks,us,XNYS,CS,True,usd,0001805833,BBG00V76KZV6,BBG00V76KZW5,2024-04-19T00:00:00Z
SSTI,"SoundThinking, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001351636,BBG000Q1PX08,BBG001SM2GR1,2024-04-19T00:00:00Z
SSTK,"SHUTTERSTOCK, INC.",stocks,us,XNYS,CS,True,usd,0001549346,BBG002ZCK2V9,BBG002ZCK3M7,2024-04-19T00:00:00Z
SSY,"SunLink Health Systems, Inc",stocks,us,XASE,CS,True,usd,0000096793,BBG000HNQT26,BBG001SF9S57,2024-04-19T00:00:00Z
SSYS,Stratasys Inc (ISRAEL),stocks,us,XNAS,CS,True,usd,0001517396,,,2024-04-19T00:00:00Z
ST,Sensata Technologies Holding plc,stocks,us,XNYS,CS,True,usd,0001477294,,,2024-04-19T00:00:00Z
STAA,Staar Surgical Co,stocks,us,XNAS,CS,True,usd,0000718937,BBG000C4QB95,BBG001S6MC39,2024-04-19T00:00:00Z
STAF,"Staffing 360 Solutions, Inc. Common Stock (DE)",stocks,us,XNAS,CS,True,usd,0001499717,BBG0025CGG82,BBG0025CGH08,2024-04-19T00:00:00Z
